QuestionID,about,acomp,advcl,advmod,after,against,amod,appos,around,as,at,aux,auxpass,before,between,both,but,by,cc,ccomp,cd,conj,cop,csubj,csubjpass,date,dep,det,dobj,dt,duration,during,either,ex,expl,for,from,fw,if,in,individual,infmod,into,iobj,jj,jjr,jjs,location,mark,md,minus,misc,money,mwe,neg,nn,nnp,nnps,nns,npadvmod,nsubj,nsubjpass,num,number,of,on,ordinal,organization,over,parataxis,partmod,pcomp,pdt,per,percent,person,plus,pobj,pos,poss,possessive,preconj,predet,prep,prp$,prp,prt,quantmod,rb,rbr,rcmod,root,rp,set,such,sym,than,that,time,tmod,to,toward,upon,vb,vbd,vbg,vbn,vbp,vbz,wdt,with,within,worth,wp$,wp,wrb,xcomp, lEquations
1,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,3,3,1,3,0,0,0,3,3,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,2,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,0,0,0,0,0,0,2,0, b*x-a*y=0;1*x+1*y=c
2,0,0,0,1,0,0,4,0,0,0,0,2,0,0,0,0,0,0,6,1,4,3,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,11,0,0,9,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,2,0,0,0,0,0,0,0,1,0, a*x+b*y=d;1*x+1*y=c
3,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,6,2,0,0,0,0,4,3,4,3,0,0,0,0,0,1,0,0,0,3,0,0,0,1,4,0,0,0,1,0,0,0,10,0,0,4,0,0,8,0,4,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,1,0,0,0,0,0,0,2,0, a*x+b*y=d;1*x+1*y=c
4,0,0,0,3,0,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,8,1,1,0,0,0,2,2,2,2,2,0,0,0,0,2,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,7,1,0,5,1,4,1,8,1,0,0,0,0,0,0,0,0,0,0,8,1,0,5,0,0,0,0,0,5,0,1,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,1,0,0,0,0,0,2,0, b*x+c*y=d;1*x+1*y=a
5,0,0,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,4,0,6,2,0,0,0,0,2,2,2,2,0,0,0,2,2,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,3,0,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,2,0, c*x+d*y=a;1*x+1*y=b
6,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,4,2,0,0,0,0,2,1,5,2,3,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,8,0,0,5,0,0,5,0,4,0,4,0,2,0,0,0,0,0,0,1,0,2,0,0,0,4,0,1,0,0,0,4,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,1,0, x=(a-c)/(d-b)
7,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,4,1,0,0,0,0,3,1,3,4,0,0,0,0,0,2,0,0,0,5,0,0,0,0,2,0,0,0,1,0,0,0,6,0,0,6,0,0,7,0,3,1,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,2,1,2,0,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,1,1, b*x+c*y=d;1*x+1*y=a
8,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,7,1,7,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,7,0,0,2,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0, c*x+1*y=d;1*x+1*y=a
9,0,0,1,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,6,1,0,3,1,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,3,4,0,0,5,0,1,3,0,0,0,0,0,0,0,0,4,0,0,1,0,1,1,4,1,1,0,0,0,0,0,1,0, 1*x-b*y=0;1*x+1*y=a
10,0,0,1,4,0,0,6,0,0,0,0,3,1,0,0,0,0,0,2,0,3,1,0,0,0,0,2,2,5,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,2,1,0,3,6,0,0,8,0,0,10,0,3,1,3,0,2,0,0,0,0,0,1,0,0,3,0,0,0,5,0,0,0,0,0,5,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,3,2,1,1,1,0,0,0,0,0,0,0,2,1, a*x+b*y=c*d;1*x+1*y=c
11,0,0,0,2,0,0,4,0,0,0,2,0,2,0,0,0,0,0,2,0,8,1,1,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,7,0,0,4,0,1,2,6,3,2,0,0,0,0,0,1,0,0,0,8,0,0,5,0,0,0,0,0,5,0,0,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,2,0, b*x+c*y=d;1*x+1*y=a
12,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,2,1,1,1,1,2,0,0,0,0,3,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,11,3,0,4,0,3,0,3,1,0,0,0,2,0,0,0,0,0,1,0,0,1,3,1,2,1,0,0,5,1,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0, x=(c-a)/b
13,0,0,2,1,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,2,0,0,0,1,7,2,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,4,3,0,0,2,0,0,11,0,0,3,1,5,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,3,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0, a*x+0*y=b;c*x-1*y=0
14,0,0,0,2,0,0,7,0,0,0,0,2,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,6,3,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,17,0,0,3,0,2,0,1,6,3,0,0,0,0,0,0,1,0,0,10,0,0,4,0,0,0,0,0,5,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,1,0,0,0,0,2,1, b*x+d*y=c*a;1*x+1*y=a
15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,6,1,5,2,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,12,0,0,1,0,3,0,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,3,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,2,1,0,0,0,0,1,0,0, x=a/b
16,0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,0,0,4,0,6,2,0,0,0,0,1,5,3,5,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,17,2,0,2,0,3,0,1,6,2,0,0,0,0,0,0,0,0,0,10,1,0,3,0,0,0,0,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,2,0,0,0,0,0,0,1,1, a*x+b*y=d*c;1*x+1*y=c
17,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,5,2,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,5,0,0,1,0,2,0,2,3,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0, d*x-1*y=c;1*x+1*y=b
18,0,0,1,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,4,0,4,2,0,0,0,0,1,6,4,6,0,0,0,1,1,1,1,0,0,4,0,0,0,0,3,0,0,0,1,0,0,0,6,0,0,10,0,0,10,1,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,0, a*x+b*y=d;1*x+1*y=c
19,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,3,1,0,0,0,0,1,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,1,0,1,5,0,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0, 1*x-b*y=a;1*x+1*y=c
